# ResilientP2P Log Export
# App Version: 1.0
# Device: P2P-Node-7842
# Export Time: 2026-03-04 15:49:11
# Uptime: 20964ms
# Battery: 64% (29.1C)
# Packets: sent=0 recv=0 fwd=0 drop=0
# Bytes: sent=0 recv=0
# Connections: established=0 lost=0
# AvgRTT: 0ms
# StoreForward: queued=0 delivered=0
# Neighbors: 0 Routes: 0
#
ID,Timestamp,Level,Type,PeerID,Message,RSSI,LatencyMs,PayloadSizeBytes
5,2026-03-04 15:49:01.636,INFO,SYSTEM,,"DISCOVERY_STARTED lowPower=false serviceId='com.fyp.resilientp2p'",,,
4,2026-03-04 15:49:01.599,INFO,SYSTEM,,"ADVERTISING_STARTED lowPower=false serviceId='com.fyp.resilientp2p'",,,
3,2026-03-04 15:49:00.421,INFO,SYSTEM,,"P2PManager START localName='P2P-Node-7842' battery=63%",,,
2,2026-03-04 15:48:50.215,INFO,SYSTEM,,"Battery design capacity: 4855 mAh",,,
1,2026-03-04 15:48:50.213,INFO,SYSTEM,,"P2PManager INITIALIZED appVersion='1.0' localIdentity='P2P-Node-7842' maxConnections=4 strategy=P2P_CLUSTER serviceId='com.fyp.resilientp2p'",,,
